Name,Reviews,Stars,HelpfulStatements,Result,RR,q,,
Ram g,"Unboxed the item and tried to play ringtone or any song to check Audio quality. External speaker is not working . Performed Soft reset and Hard reset both. Now the device become abnormal state during booting stage and  is rebooting automatically for more than 30 mins by showing ""SAMSUNG GALAXY M30"" nothing given over control to move forward...Hold power button on time to control above situation but no use. Is started working like as Un programmed ROBOT.Not at all expected from SAMSUNG.!!!!!!!!!!!!!Are you guys are checking\testing products properly before dispatching to the customers ?? (or) for flash sale sake running behind ???? thinking like Let first deliver and make money, later on will respond to the customers if they face any problem with the defective piece. .Irony is for this product especially, customer will not get an option to select replacement or refund option . You have to be dependent on customer care executive for any further support.You will not come to know the status immediately though executive raised a request for Replacement. It take some time to reflect in the system to update after going through several approvals process. I.e replacement / Refund is not hassle free process.
",1.0 out of 5 stars,103 people found this helpful,neg,"Unboxed the item and tried to play ringtone or any song to check Audio quality. External speaker is not working . Performed Soft reset and Hard reset both. Now the device become abnormal state during booting stage and  is rebooting automatically for more than 30 mins by showing ""SAMSUNG GALAXY M30"" nothing given over control to move forward...Hold power button on time to control above situation but no use. Is started working like as Un programmed ROBOT.Not at all expected from SAMSUNG.!!!!!!!!!!!!!Are you guys are checking\testing products properly before dispatching to the customers ?? (or) for flash sale sake running behind ???? thinking like Let first deliver and make money, later on will respond to the customers if they face any problem with the defective piece. .Irony is for this product especially, customer will not get an option to select replacement or refund option . You have to be dependent on customer care executive for any further support.You will not come to know the status immediately though executive raised a request for Replacement. It take some time to reflect in the system to update after going through several approvals process. I.e replacement / Refund is not hassle free process.
,neg",q,,
Inpreet s.,"Worst camera quality. Both front & back cameras are not up to the mark .""Face recognition"" is also slow.Screen, Look, battery is gud. But picture quality is too bad.
",1.0 out of 5 stars,112 people found this helpful,neg,"Worst camera quality. Both front & back cameras are not up to the mark .""Face recognition"" is also slow.Screen, Look, battery is gud. But picture quality is too bad.
,neg",q,,
Urmi Bhatt,"When it comes to Samsung M30, you know you're in a good deal. From the display to the look of it, I love every single bit of it. The blue gradient color is one to look out of for. When it comes to using it, you have a power packed device in your hand. Powered with Android 8.1, it is the latest one in the market making it already a favourite. When it comes to RAM, it handles it all. The camera is pretty impressive and the display is an infinite making it amazing to view at. The battery life on the other hand, is long enough letting you do whatever you want to. Even if the battery is low, it charges up extremely fast enough to enjoy your phone once again. The fast charger is a unique and a must have one. The camera has all the settings of that a professional camera, making it an amazing option to have. I highly recommend this for all students
",5.0 out of 5 stars,101 people found this helpful,pos,"When it comes to Samsung M30, you know you're in a good deal. From the display to the look of it, I love every single bit of it. The blue gradient color is one to look out of for. When it comes to using it, you have a power packed device in your hand. Powered with Android 8.1, it is the latest one in the market making it already a favourite. When it comes to RAM, it handles it all. The camera is pretty impressive and the display is an infinite making it amazing to view at. The battery life on the other hand, is long enough letting you do whatever you want to. Even if the battery is low, it charges up extremely fast enough to enjoy your phone once again. The fast charger is a unique and a must have one. The camera has all the settings of that a professional camera, making it an amazing option to have. I highly recommend this for all students
,pos",q,,
Sameksh,"Samsung galaxy M30 is the lowest priced smart phone with 3 back cameras.It has a 16mp front camera with focus which is seen very less in any smartphone below 18,000 INR M30 also gives a 5000 MaH battery so we get a better battery back up and use the phone all day without any need to charge.Phone comes with a amoled display so the contrast and the characters are really sharp and the screen looks really beautiful.The 6gb ram and 128GB RAM will make your phone run faster than ever you can play any game in your phone so your gaming experience is going to be really good and The phone is really light you wont even feel any weight on your pockets when you roam around and looks of the phone is mind blowing overall Samsung galaxy M30 is a delight to have in your hands If your budget is under 20000 it is your go to phone
",5.0 out of 5 stars,99 people found this helpful,pos,"Samsung galaxy M30 is the lowest priced smart phone with 3 back cameras.It has a 16mp front camera with focus which is seen very less in any smartphone below 18,000 INR M30 also gives a 5000 MaH battery so we get a better battery back up and use the phone all day without any need to charge.Phone comes with a amoled display so the contrast and the characters are really sharp and the screen looks really beautiful.The 6gb ram and 128GB RAM will make your phone run faster than ever you can play any game in your phone so your gaming experience is going to be really good and The phone is really light you wont even feel any weight on your pockets when you roam around and looks of the phone is mind blowing overall Samsung galaxy M30 is a delight to have in your hands If your budget is under 20000 it is your go to phone
,pos",q,,
Darshan Doshi ,"So yeah talking about samsung M30 its just amazing with new classic look you can say the phone is of next generation and pretty amazing with its features. Talking about camera who needs digital camera if you have samsung M30 who need play station when you have this M30 with its amazing gaming mode and talking about selfie features such a zoom out selfie is lit portrait and and many others like it has all in one we can say a complete phone talking about processor of the phone its ultra amazing one can play games without getting hang amazing touch like its just sleek and smooth 3 cameras back and 1 in front amazing like its catches your personality cool battery life so amazing like we charged for minutes and hold it for 2 days continuous battery life talking about price of phone it is very structural and affordable for every middle class person so that even they can also have phone with all the banging features even slow mode and video mode is very unique coming to the body of the phone gradient colour is very mesmerising battery life is super ultimate i would say its very powerful and I’ll surely recommend my friends to go for it.
",5.0 out of 5 stars,91 people found this helpful,pos,"So yeah talking about samsung M30 its just amazing with new classic look you can say the phone is of next generation and pretty amazing with its features. Talking about camera who needs digital camera if you have samsung M30 who need play station when you have this M30 with its amazing gaming mode and talking about selfie features such a zoom out selfie is lit portrait and and many others like it has all in one we can say a complete phone talking about processor of the phone its ultra amazing one can play games without getting hang amazing touch like its just sleek and smooth 3 cameras back and 1 in front amazing like its catches your personality cool battery life so amazing like we charged for minutes and hold it for 2 days continuous battery life talking about price of phone it is very structural and affordable for every middle class person so that even they can also have phone with all the banging features even slow mode and video mode is very unique coming to the body of the phone gradient colour is very mesmerising battery life is super ultimate i would say its very powerful and I’ll surely recommend my friends to go for it.
,pos",q,,
M.A.Irfan,"I have not receive screen guard and back cover
",3.0 out of 5 stars,90 people found this helpful,neut,"I have not receive screen guard and back cover
,neut",q,,
Dinesh Chaurasia,"After 4months using of this mobiles set, I am writing my this feedback.  Samsung M30 processing is slow, it's finger print senser and face detection features are not upto the mark. Its Battery which is 5000AmH, does not seem powerful battery, it's performance is equal to 2800-3000AmH battery, it get s drained very fast watching videos. If you charge its battery 100% then it comes down 97% within 30 minutes without using the phone.Camera quality is also not good, there is no sense of rear triple camera.This is only Brand Tag Samsung but over all quality of this phone is not good. It is not worthwhile to o spend Rs 15000 for this ""GHATIYA"" mobile.So if somebody wants to buy M30, don't buy it. Better should go for Redmi note 7 pro/ Honor or Vivo
",1.0 out of 5 stars,81 people found this helpful,neg,"After 4months using of this mobiles set, I am writing my this feedback.  Samsung M30 processing is slow, it's finger print senser and face detection features are not upto the mark. Its Battery which is 5000AmH, does not seem powerful battery, it's performance is equal to 2800-3000AmH battery, it get s drained very fast watching videos. If you charge its battery 100% then it comes down 97% within 30 minutes without using the phone.Camera quality is also not good, there is no sense of rear triple camera.This is only Brand Tag Samsung but over all quality of this phone is not good. It is not worthwhile to o spend Rs 15000 for this ""GHATIYA"" mobile.So if somebody wants to buy M30, don't buy it. Better should go for Redmi note 7 pro/ Honor or Vivo
,neg",q,,
AJN,"Loving the m30. Super light and easy to hold thanks to its curved design. Sometimes the screen gets a little cut off at the corners but that's okay. Great customisation. Battery is pretty great. Love that the headphone Jack and the charging point is on the same end and that it has a dedicated slot. Finger print  scanner and face detection is a little dull. Can't lock my phone with finger print like I could on my Moto G5s+. Also the speaker kinda resounds, as though you were in a closed room. Also camera is pretty average, hating the beauty mode. Touch sensitivity can also be a little awkward sometimes in the corners. All in all it's a decent phone, great battery life so for basic users who don't play games sometimes or all the time. It's a great handset to have invested in. However, it suits my basic needs, so I'm all for it.
",4.0 out of 5 stars,75 people found this helpful,pos,"Loving the m30. Super light and easy to hold thanks to its curved design. Sometimes the screen gets a little cut off at the corners but that's okay. Great customisation. Battery is pretty great. Love that the headphone Jack and the charging point is on the same end and that it has a dedicated slot. Finger print  scanner and face detection is a little dull. Can't lock my phone with finger print like I could on my Moto G5s+. Also the speaker kinda resounds, as though you were in a closed room. Also camera is pretty average, hating the beauty mode. Touch sensitivity can also be a little awkward sometimes in the corners. All in all it's a decent phone, great battery life so for basic users who don't play games sometimes or all the time. It's a great handset to have invested in. However, it suits my basic needs, so I'm all for it.
,pos",q,,
Tejas Thakur,"THE WORST PHONE THAT I'VE EVER USED!!Purchased on : April 2, 2019Received on : April 4, 2019I actually brought Samsung Galaxy M30 on March 12 (flash sale)... The phone died in just 6 days... The phone didn't turn on again... I requested a replacement for the product, but it was not in stock... So amazon refunded my money on Amazon Pay... I purchased M30 again (on April 2, 2019)... The phone died again just within 2 days!! The screen turned off automatically while I was using it... I tried to turn it on thinking that this might be an accidental switch off... My phone had a charge around 57%... But when I tried to turn on, nothing happened... I plugged a charger into it, it just showed a circle with a lighting symbol (⚡) in it... The same thing had happened with my first M30... Now I've requested for a refund from amazon... I trusted Samsung a lot... But it BROKE MY TRUST WITHIN BLINKS!!! NEVER BUY A SAMSUNG PHONE!!!
",1.0 out of 5 stars,74 people found this helpful,neg,"THE WORST PHONE THAT I'VE EVER USED!!Purchased on : April 2, 2019Received on : April 4, 2019I actually brought Samsung Galaxy M30 on March 12 (flash sale)... The phone died in just 6 days... The phone didn't turn on again... I requested a replacement for the product, but it was not in stock... So amazon refunded my money on Amazon Pay... I purchased M30 again (on April 2, 2019)... The phone died again just within 2 days!! The screen turned off automatically while I was using it... I tried to turn it on thinking that this might be an accidental switch off... My phone had a charge around 57%... But when I tried to turn on, nothing happened... I plugged a charger into it, it just showed a circle with a lighting symbol (⚡) in it... The same thing had happened with my first M30... Now I've requested for a refund from amazon... I trusted Samsung a lot... But it BROKE MY TRUST WITHIN BLINKS!!! NEVER BUY A SAMSUNG PHONE!!!
,neg",q,,
Sushil D.,"Pros:-  Made in India.  Big battery (5,000 mAh)  Fast charging support (fast charger is included in the box)  Type-C charging port  6.4inches FHD+ Super AMOLED display with infinity-U cut design  Tripple Slot(Two SIM cards+Memory Card simultaneously)  Tripple Cameras (13MP+5MP+5MP)  Front camera 16MP(f/1.9)Cons:-  Plastic body instead of metal  Less powerful processor compare to other phones in same price range  Design should be improved as device is slippery  Camera in low light is average compare to other new phones in same price rangeGood phone in this budget and trust of Samsung makes it more reliable.
",5.0 out of 5 stars,71 people found this helpful,pos,"Pros:-  Made in India.  Big battery (5,000 mAh)  Fast charging support (fast charger is included in the box)  Type-C charging port  6.4inches FHD+ Super AMOLED display with infinity-U cut design  Tripple Slot(Two SIM cards+Memory Card simultaneously)  Tripple Cameras (13MP+5MP+5MP)  Front camera 16MP(f/1.9)Cons:-  Plastic body instead of metal  Less powerful processor compare to other phones in same price range  Design should be improved as device is slippery  Camera in low light is average compare to other new phones in same price rangeGood phone in this budget and trust of Samsung makes it more reliable.
,pos",q,,
Bhargav,"The mobile is getting struck and it's taking 3 hours for full charge from less than 10% to 100% with 15W fast charger given by them in the box....Then there's no point of fast charging here...In 3 hours any phone wil get fully charged with any charger...Then wats the point here saying fast charger and 3x faster and all...
",2.0 out of 5 stars,76 people found this helpful,neg,"The mobile is getting struck and it's taking 3 hours for full charge from less than 10% to 100% with 15W fast charger given by them in the box....Then there's no point of fast charging here...In 3 hours any phone wil get fully charged with any charger...Then wats the point here saying fast charger and 3x faster and all...
,neg",q,,
Suraj Koparkar,"Screen is amazing battrey life is also good at this price range
",5.0 out of 5 stars,75 people found this helpful,pos,"Screen is amazing battrey life is also good at this price range
,pos",q,,
ravi kumar,"Phone specifications are awesome but it's build quality is too poor. It's rare is scratched in only one day normal use . Im disappointed with it.
",2.0 out of 5 stars,72 people found this helpful,neg,"Phone specifications are awesome but it's build quality is too poor. It's rare is scratched in only one day normal use . Im disappointed with it.
,neg",q,,
Divyesh Patel,"Samsung Midrange Smartphone at its best!!Screen: sAMOLED Display too goodBattery: 48+ Hours with a  more than normal usage.Speed: Pubg goes well. no HeatingCamera: Not Too Good. but less than Expected.Best Product to buy....If camera is not your primary Preference.
",4.0 out of 5 stars,69 people found this helpful,pos,"Samsung Midrange Smartphone at its best!!Screen: sAMOLED Display too goodBattery: 48+ Hours with a  more than normal usage.Speed: Pubg goes well. no HeatingCamera: Not Too Good. but less than Expected.Best Product to buy....If camera is not your primary Preference.
,pos",q,,
Juhi H Bhavsar,"The phone was amazing as I'm a selfie girl the front camera is Amazing 😀 the 3 camera Feature which gives the back camera a good Focus, The phone is designed in an amazing way with face id and finger print and many more,battery is long lasting samoled FHD +display .I have chosen the black colour Variant which has amazing display, this phone is Way better than my old phone. As it has it's best photography option in everymode we can edit the photos. 13+5+5MP triple rear camera with f1.9aperture 2.2wideangle , 2.2flash 16MP front camera with f20aperture . Memory ,storage has good capacity and phone doesn’t hang as my Last phone . And it has a dual sim Samsung M30 is an amazing phone with amazing choice with lot of new adavance technique . As I have the m30 it is an amazing phone I recommend all to take this phone .
",5.0 out of 5 stars,65 people found this helpful,pos,"The phone was amazing as I'm a selfie girl the front camera is Amazing 😀 the 3 camera Feature which gives the back camera a good Focus, The phone is designed in an amazing way with face id and finger print and many more,battery is long lasting samoled FHD +display .I have chosen the black colour Variant which has amazing display, this phone is Way better than my old phone. As it has it's best photography option in everymode we can edit the photos. 13+5+5MP triple rear camera with f1.9aperture 2.2wideangle , 2.2flash 16MP front camera with f20aperture . Memory ,storage has good capacity and phone doesn’t hang as my Last phone . And it has a dual sim Samsung M30 is an amazing phone with amazing choice with lot of new adavance technique . As I have the m30 it is an amazing phone I recommend all to take this phone .
,pos",q,,
Vipul kumar vats,"Samsung..great performance !!Looks pretty!!
",5.0 out of 5 stars,69 people found this helpful,pos,"Samsung..great performance !!Looks pretty!!
,pos",q,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,b
